                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4013,                      0,                      1,                 1.3916,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.3915,                0.08333,                      1,                 1.3881,             3.3344e-05,             3.3344e-05,             3.3344e-05
                      3,                 1.3578,                   0.25,                      1,                 1.3823,              4.958e-05,              4.958e-05,              4.958e-05
                      4,                 1.3398,                   0.25,                      1,                 1.3766,             6.2989e-05,             6.2989e-05,             6.2989e-05
                      5,                 1.3096,                0.33333,                      1,                 1.3685,             7.3571e-05,             7.3571e-05,             7.3571e-05
                      6,                 1.3009,                    0.5,                      1,                  1.362,             8.1325e-05,             8.1325e-05,             8.1325e-05
                      7,                 1.2755,                    0.5,                      1,                 1.3554,             8.6251e-05,             8.6251e-05,             8.6251e-05
                      8,                 1.2322,                0.58333,                      1,                 1.3521,              8.835e-05,              8.835e-05,              8.835e-05
                      9,                 1.2585,                0.58333,                      1,                 1.3458,             8.7622e-05,             8.7622e-05,             8.7622e-05
                     10,                 1.2359,                0.58333,                      1,                 1.3432,             8.4066e-05,             8.4066e-05,             8.4066e-05
                     11,                  1.205,                0.58333,                      1,                 1.3405,             7.7683e-05,             7.7683e-05,             7.7683e-05
                     12,                  1.172,                0.58333,                      1,                 1.3376,             6.8473e-05,             6.8473e-05,             6.8473e-05
                     13,                 1.1511,                0.58333,                      1,                 1.3336,             5.6435e-05,             5.6435e-05,             5.6435e-05
                     14,                 1.1343,                0.58333,                      1,                 1.3323,             4.1569e-05,             4.1569e-05,             4.1569e-05
                     15,                 1.1746,                0.58333,                      1,                 1.3308,             2.3876e-05,             2.3876e-05,             2.3876e-05
