                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6834,                0.13333,                      1,                 1.6115,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                 1.6487,                0.13333,                      1,                 1.6098,             4.6681e-05,             4.6681e-05,             4.6681e-05
                      3,                 1.6224,                0.13333,                      1,                 1.6065,             6.8173e-05,             6.8173e-05,             6.8173e-05
                      4,                 1.5683,                0.26667,                      1,                 1.6009,             8.5894e-05,             8.5894e-05,             8.5894e-05
                      5,                 1.5229,                0.26667,                      1,                 1.5977,             9.9846e-05,             9.9846e-05,             9.9846e-05
                      6,                 1.5615,                0.26667,                      1,                 1.5944,             0.00011003,             0.00011003,             0.00011003
                      7,                 1.5298,                0.33333,                      1,                 1.5918,             0.00011644,             0.00011644,             0.00011644
                      8,                  1.487,                0.46667,                      1,                 1.5882,             0.00011908,             0.00011908,             0.00011908
                      9,                 1.4959,                0.46667,                      1,                 1.5843,             0.00011795,             0.00011795,             0.00011795
                     10,                 1.4312,                0.46667,                      1,                 1.5803,             0.00011305,             0.00011305,             0.00011305
                     11,                 1.4152,                0.46667,                      1,                 1.5763,             0.00010439,             0.00010439,             0.00010439
                     12,                 1.3327,                0.46667,                      1,                 1.5706,             9.1949e-05,             9.1949e-05,             9.1949e-05
                     13,                 1.3769,                0.46667,                      1,                  1.566,             7.5741e-05,             7.5741e-05,             7.5741e-05
                     14,                 1.4412,                0.46667,                      1,                 1.5654,             5.5763e-05,             5.5763e-05,             5.5763e-05
                     15,                 1.3084,                0.46667,                      1,                 1.5634,             3.2016e-05,             3.2016e-05,             3.2016e-05
