                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3953,                   0.25,                      1,                 1.3803,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.3833,                0.41667,                      1,                 1.3778,             3.4286e-05,             3.4286e-05,             3.4286e-05
                      3,                 1.3943,                    0.5,                      1,                  1.374,             5.2596e-05,             5.2596e-05,             5.2596e-05
                      4,                 1.3488,                0.58333,                      1,                 1.3705,             6.9209e-05,             6.9209e-05,             6.9209e-05
                      5,                 1.3181,                0.41667,                      1,                 1.3666,             8.4126e-05,             8.4126e-05,             8.4126e-05
                      6,                 1.2939,                    0.5,                      1,                 1.3621,             9.7347e-05,             9.7347e-05,             9.7347e-05
                      7,                 1.2804,                0.58333,                      1,                 1.3556,             0.00010887,             0.00010887,             0.00010887
                      8,                 1.2498,                0.58333,                      1,                 1.3519,              0.0001187,              0.0001187,              0.0001187
                      9,                 1.2364,                0.58333,                      1,                 1.3433,             0.00012683,             0.00012683,             0.00012683
                     10,                 1.2116,                0.58333,                      1,                 1.3376,             0.00013326,             0.00013326,             0.00013326
                     11,                 1.2257,                0.58333,                      1,                 1.3285,               0.000138,               0.000138,               0.000138
                     12,                 1.1678,                0.58333,                      1,                 1.3236,             0.00014104,             0.00014104,             0.00014104
                     13,                 1.1168,                    0.5,                      1,                 1.3115,             0.00014239,             0.00014239,             0.00014239
                     14,                 1.1432,                    0.5,                      1,                 1.3067,             0.00014204,             0.00014204,             0.00014204
                     15,                 1.0545,                    0.5,                      1,                  1.295,             0.00013999,             0.00013999,             0.00013999
                     16,                 1.0864,                    0.5,                      1,                 1.2895,             0.00013625,             0.00013625,             0.00013625
                     17,                 1.0408,                    0.5,                      1,                 1.2778,              0.0001308,              0.0001308,              0.0001308
                     18,                 1.0199,                0.58333,                      1,                 1.2722,             0.00012367,             0.00012367,             0.00012367
                     19,                 1.0344,                0.58333,                      1,                 1.2643,             0.00011483,             0.00011483,             0.00011483
                     20,                0.99727,                0.66667,                      1,                 1.2604,              0.0001043,              0.0001043,              0.0001043
                     21,                0.92911,                0.66667,                      1,                 1.2555,             9.2077e-05,             9.2077e-05,             9.2077e-05
                     22,                 1.0035,                0.66667,                      1,                 1.2504,             7.8154e-05,             7.8154e-05,             7.8154e-05
                     23,                0.93205,                0.58333,                      1,                  1.247,             6.2535e-05,             6.2535e-05,             6.2535e-05
                     24,                0.91141,                0.58333,                      1,                 1.2457,             4.5219e-05,             4.5219e-05,             4.5219e-05
                     25,                0.91338,                0.58333,                      1,                 1.2431,             2.6207e-05,             2.6207e-05,             2.6207e-05
