                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3945,                      0,                      1,                 1.3913,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.3697,                0.08333,                      1,                 1.3876,              3.469e-05,              3.469e-05,              3.469e-05
                      3,                 1.3546,                   0.25,                      1,                 1.3826,             5.3889e-05,             5.3889e-05,             5.3889e-05
                      4,                 1.3141,                   0.25,                      1,                 1.3752,             7.1875e-05,             7.1875e-05,             7.1875e-05
                      5,                 1.2815,                    0.5,                      1,                 1.3655,              8.865e-05,              8.865e-05,              8.865e-05
                      6,                 1.2548,                0.58333,                      1,                 1.3583,             0.00010421,             0.00010421,             0.00010421
                      7,                 1.2692,                0.58333,                      1,                 1.3482,             0.00011856,             0.00011856,             0.00011856
                      8,                 1.1962,                0.58333,                      1,                 1.3435,              0.0001317,              0.0001317,              0.0001317
                      9,                 1.1521,                0.58333,                      1,                 1.3363,             0.00014363,             0.00014363,             0.00014363
                     10,                 1.1349,                0.41667,                      1,                  1.331,             0.00015435,             0.00015435,             0.00015435
                     11,                  1.125,                0.33333,                      1,                  1.325,             0.00016385,             0.00016385,             0.00016385
                     12,                 1.1043,                0.33333,                      1,                  1.322,             0.00017215,             0.00017215,             0.00017215
                     13,                0.98078,                0.33333,                      1,                 1.3173,             0.00017923,             0.00017923,             0.00017923
                     14,                 1.0245,                0.33333,                      1,                 1.3147,              0.0001851,              0.0001851,              0.0001851
                     15,                0.94738,                0.33333,                      1,                 1.3101,             0.00018975,             0.00018975,             0.00018975
                     16,                0.86806,                0.33333,                      1,                 1.3094,              0.0001932,              0.0001932,              0.0001932
                     17,                0.89719,                0.33333,                      1,                 1.3007,             0.00019543,             0.00019543,             0.00019543
                     18,                0.84036,                0.41667,                      1,                 1.2945,             0.00019645,             0.00019645,             0.00019645
                     19,                0.84178,                0.41667,                      1,                 1.2917,             0.00019626,             0.00019626,             0.00019626
                     20,                0.73346,                0.41667,                      1,                 1.2871,             0.00019486,             0.00019486,             0.00019486
                     21,                0.73119,                0.41667,                      1,                 1.2808,             0.00019225,             0.00019225,             0.00019225
                     22,                0.72617,                0.41667,                      1,                  1.272,             0.00018842,             0.00018842,             0.00018842
                     23,                 0.6803,                0.41667,                      1,                 1.2645,             0.00018339,             0.00018339,             0.00018339
                     24,                0.64031,                0.41667,                      1,                 1.2635,             0.00017714,             0.00017714,             0.00017714
                     25,                0.61686,                0.41667,                      1,                 1.2641,             0.00016968,             0.00016968,             0.00016968
                     26,                0.57727,                0.41667,                      1,                 1.2527,             0.00016101,             0.00016101,             0.00016101
                     27,                0.69107,                0.41667,                      1,                 1.2514,             0.00015112,             0.00015112,             0.00015112
                     28,                0.63852,                0.41667,                      1,                 1.2459,             0.00014003,             0.00014003,             0.00014003
                     29,                0.51481,                0.41667,                      1,                 1.2459,             0.00012772,             0.00012772,             0.00012772
                     30,                0.55344,                    0.5,                      1,                 1.2353,              0.0001142,              0.0001142,              0.0001142
                     31,                0.53817,                    0.5,                      1,                 1.2379,              9.947e-05,              9.947e-05,              9.947e-05
                     32,                0.48739,                    0.5,                      1,                 1.2242,             8.3528e-05,             8.3528e-05,             8.3528e-05
                     33,                0.56654,                    0.5,                      1,                 1.2242,             6.6373e-05,             6.6373e-05,             6.6373e-05
                     34,                0.35676,                    0.5,                      1,                 1.2147,             4.7532e-05,             4.7532e-05,             4.7532e-05
                     35,                0.38814,                    0.5,                      1,                 1.2218,             2.7336e-05,             2.7336e-05,             2.7336e-05
