                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4013,                      0,                      1,                 1.3916,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.3914,                0.08333,                      1,                 1.3881,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      3,                 1.3574,                   0.25,                      1,                 1.3823,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      4,                 1.3385,                   0.25,                      1,                 1.3763,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      5,                  1.306,                0.33333,                      1,                 1.3679,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      6,                 1.2923,                    0.5,                      1,                 1.3611,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      7,                 1.2732,                0.58333,                      1,                 1.3525,             0.00010039,             0.00010039,             0.00010039
                      8,                 1.2335,                0.58333,                      1,                  1.348,             0.00010732,             0.00010732,             0.00010732
                      9,                  1.234,                0.58333,                      1,                 1.3405,             0.00011213,             0.00011213,             0.00011213
                     10,                 1.1468,                0.58333,                      1,                 1.3372,             0.00011481,             0.00011481,             0.00011481
                     11,                 1.1614,                0.58333,                      1,                 1.3327,             0.00011538,             0.00011538,             0.00011538
                     12,                 1.1582,                0.58333,                      1,                 1.3293,             0.00011383,             0.00011383,             0.00011383
                     13,                 1.1375,                0.58333,                      1,                 1.3234,             0.00011016,             0.00011016,             0.00011016
                     14,                 1.0475,                0.58333,                      1,                 1.3195,             0.00010436,             0.00010436,             0.00010436
                     15,                 1.0883,                    0.5,                      1,                 1.3141,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     16,                 1.0759,                    0.5,                      1,                 1.3112,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     17,                 1.0251,                    0.5,                      1,                 1.3054,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     18,                 1.0123,                    0.5,                      1,                 1.3043,              5.998e-05,              5.998e-05,              5.998e-05
                     19,                 1.0143,                    0.5,                      1,                 1.3035,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     20,                 1.0364,                    0.5,                      1,                 1.3018,             2.5065e-05,             2.5065e-05,             2.5065e-05
