                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.647,                      0,                      1,                 1.6283,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.6732,                      0,                      1,                 1.6259,             2.0996e-05,             2.0996e-05,             2.0996e-05
                      3,                 1.6978,                    0.2,                      1,                 1.6209,             3.4286e-05,             3.4286e-05,             3.4286e-05
                      4,                  1.678,                    0.2,                      1,                 1.6126,             4.7011e-05,             4.7011e-05,             4.7011e-05
                      5,                  1.624,                    0.4,                      1,                 1.6063,             5.9171e-05,             5.9171e-05,             5.9171e-05
                      6,                 1.5572,                    0.4,                      1,                 1.6016,             7.0765e-05,             7.0765e-05,             7.0765e-05
                      7,                  1.589,                    0.4,                      1,                 1.5982,             8.1793e-05,             8.1793e-05,             8.1793e-05
                      8,                 1.5806,                    0.4,                      1,                 1.5915,             9.2256e-05,             9.2256e-05,             9.2256e-05
                      9,                 1.5192,                    0.4,                      1,                 1.5872,             0.00010215,             0.00010215,             0.00010215
                     10,                 1.4809,                    0.4,                      1,                 1.5835,             0.00011149,             0.00011149,             0.00011149
                     11,                 1.4607,                    0.4,                      1,                 1.5775,             0.00012025,             0.00012025,             0.00012025
                     12,                   1.42,                    0.4,                      1,                 1.5723,             0.00012845,             0.00012845,             0.00012845
                     13,                 1.3357,                    0.4,                      1,                 1.5649,             0.00013609,             0.00013609,             0.00013609
                     14,                 1.3261,                    0.4,                      1,                 1.5576,             0.00014316,             0.00014316,             0.00014316
                     15,                 1.2988,                    0.6,                      1,                 1.5483,             0.00014966,             0.00014966,             0.00014966
                     16,                 1.2388,                    0.6,                      1,                 1.5387,              0.0001556,              0.0001556,              0.0001556
                     17,                 1.2891,                    0.6,                      1,                 1.5292,             0.00016098,             0.00016098,             0.00016098
                     18,                 1.1759,                    0.6,                      1,                 1.5197,             0.00016578,             0.00016578,             0.00016578
                     19,                 1.2499,                    0.4,                      1,                 1.5083,             0.00017003,             0.00017003,             0.00017003
                     20,                 1.1231,                    0.6,                      1,                 1.4952,              0.0001737,              0.0001737,              0.0001737
                     21,                 1.0696,                    0.6,                      1,                 1.4823,             0.00017681,             0.00017681,             0.00017681
                     22,                  1.093,                    0.6,                      1,                 1.4703,             0.00017936,             0.00017936,             0.00017936
                     23,                 1.1262,                    0.6,                      1,                 1.4573,             0.00018134,             0.00018134,             0.00018134
                     24,                 1.0577,                    0.8,                      1,                  1.438,             0.00018276,             0.00018276,             0.00018276
                     25,                 1.0208,                    0.8,                      1,                 1.4294,             0.00018361,             0.00018361,             0.00018361
                     26,                0.98051,                    0.8,                      1,                 1.4198,             0.00018389,             0.00018389,             0.00018389
                     27,                0.99922,                    0.8,                      1,                 1.4093,             0.00018361,             0.00018361,             0.00018361
                     28,                0.89758,                    0.8,                      1,                 1.4093,             0.00018276,             0.00018276,             0.00018276
                     29,                0.96362,                    0.8,                      1,                 1.4027,             0.00018135,             0.00018135,             0.00018135
                     30,                0.94079,                    0.8,                      1,                 1.3944,             0.00017937,             0.00017937,             0.00017937
                     31,                0.88511,                    0.8,                      1,                 1.3944,             0.00017683,             0.00017683,             0.00017683
                     32,                0.88584,                    0.8,                      1,                 1.3854,             0.00017372,             0.00017372,             0.00017372
                     33,                0.92025,                    0.8,                      1,                 1.3742,             0.00017005,             0.00017005,             0.00017005
                     34,                0.89458,                    0.8,                      1,                 1.3742,             0.00016581,             0.00016581,             0.00016581
                     35,                0.78275,                    0.8,                      1,                 1.3617,               0.000161,               0.000161,               0.000161
                     36,                0.88838,                      1,                      1,                 1.3531,             0.00015563,             0.00015563,             0.00015563
                     37,                0.77496,                      1,                      1,                 1.3531,             0.00014969,             0.00014969,             0.00014969
                     38,                 0.8153,                      1,                      1,                 1.3479,             0.00014319,             0.00014319,             0.00014319
                     39,                0.95009,                      1,                      1,                  1.342,             0.00013613,             0.00013613,             0.00013613
                     40,                0.76549,                      1,                      1,                  1.342,             0.00012849,             0.00012849,             0.00012849
                     41,                0.80045,                      1,                      1,                 1.3336,             0.00012029,             0.00012029,             0.00012029
                     42,                0.73784,                      1,                      1,                 1.3301,             0.00011153,             0.00011153,             0.00011153
                     43,                0.78557,                      1,                      1,                 1.3301,              0.0001022,              0.0001022,              0.0001022
                     44,                0.63141,                      1,                      1,                 1.3355,             9.2307e-05,             9.2307e-05,             9.2307e-05
                     45,                0.63031,                      1,                      1,                 1.3355,             8.1847e-05,             8.1847e-05,             8.1847e-05
                     46,                0.68123,                      1,                      1,                 1.3276,             7.0822e-05,             7.0822e-05,             7.0822e-05
                     47,                 0.6585,                      1,                      1,                 1.3276,             5.9231e-05,             5.9231e-05,             5.9231e-05
                     48,                0.91525,                      1,                      1,                 1.3244,             4.7074e-05,             4.7074e-05,             4.7074e-05
                     49,                0.62536,                      1,                      1,                 1.3244,             3.4352e-05,             3.4352e-05,             3.4352e-05
                     50,                0.63494,                      1,                      1,                 1.3233,             2.1064e-05,             2.1064e-05,             2.1064e-05
