                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4722,                0.16667,                      1,                 1.3916,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.4128,                0.16667,                      1,                 1.3892,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      3,                 1.3847,                0.16667,                      1,                 1.3864,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      4,                  1.356,                0.33333,                      1,                 1.3821,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      5,                 1.3491,                0.33333,                      1,                 1.3775,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      6,                 1.2836,                0.33333,                      1,                 1.3737,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      7,                 1.2821,                0.33333,                      1,                 1.3703,             0.00010039,             0.00010039,             0.00010039
                      8,                 1.2543,                0.41667,                      1,                 1.3679,             0.00010732,             0.00010732,             0.00010732
                      9,                 1.2456,                0.41667,                      1,                 1.3642,             0.00011213,             0.00011213,             0.00011213
                     10,                 1.1951,                0.33333,                      1,                 1.3623,             0.00011481,             0.00011481,             0.00011481
                     11,                 1.1901,                0.33333,                      1,                  1.359,             0.00011538,             0.00011538,             0.00011538
                     12,                  1.191,                0.33333,                      1,                 1.3572,             0.00011383,             0.00011383,             0.00011383
                     13,                 1.1247,                0.33333,                      1,                 1.3528,             0.00011016,             0.00011016,             0.00011016
                     14,                 1.0561,                0.33333,                      1,                 1.3504,             0.00010436,             0.00010436,             0.00010436
                     15,                 1.1166,                0.33333,                      1,                 1.3464,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     16,                 1.0806,                0.33333,                      1,                 1.3448,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     17,                 1.0367,                0.41667,                      1,                 1.3419,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     18,                0.98111,                0.33333,                      1,                   1.34,              5.998e-05,              5.998e-05,              5.998e-05
                     19,                 1.0272,                0.41667,                      1,                 1.3379,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     20,                 1.0118,                0.33333,                      1,                 1.3376,             2.5065e-05,             2.5065e-05,             2.5065e-05
