                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4722,                0.16667,                      1,                 1.3916,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.4128,                0.16667,                      1,                 1.3892,             3.4286e-05,             3.4286e-05,             3.4286e-05
                      3,                 1.3844,                0.16667,                      1,                 1.3864,             5.2596e-05,             5.2596e-05,             5.2596e-05
                      4,                 1.3551,                0.33333,                      1,                  1.382,             6.9209e-05,             6.9209e-05,             6.9209e-05
                      5,                 1.3468,                0.33333,                      1,                 1.3772,             8.4126e-05,             8.4126e-05,             8.4126e-05
                      6,                 1.2794,                0.33333,                      1,                 1.3732,             9.7347e-05,             9.7347e-05,             9.7347e-05
                      7,                 1.2766,                0.41667,                      1,                 1.3696,             0.00010887,             0.00010887,             0.00010887
                      8,                 1.2464,                0.41667,                      1,                 1.3671,              0.0001187,              0.0001187,              0.0001187
                      9,                 1.2367,                0.41667,                      1,                 1.3629,             0.00012683,             0.00012683,             0.00012683
                     10,                 1.1811,                0.33333,                      1,                 1.3606,             0.00013326,             0.00013326,             0.00013326
                     11,                 1.2101,                0.33333,                      1,                 1.3573,               0.000138,               0.000138,               0.000138
                     12,                 1.1218,                0.33333,                      1,                  1.355,             0.00014104,             0.00014104,             0.00014104
                     13,                 1.1168,                0.33333,                      1,                 1.3488,             0.00014239,             0.00014239,             0.00014239
                     14,                 1.0887,                0.41667,                      1,                 1.3457,             0.00014204,             0.00014204,             0.00014204
                     15,                 1.0625,                0.41667,                      1,                 1.3387,             0.00013999,             0.00013999,             0.00013999
                     16,                 1.0173,                0.41667,                      1,                  1.336,             0.00013625,             0.00013625,             0.00013625
                     17,                0.91565,                0.41667,                      1,                 1.3291,              0.0001308,              0.0001308,              0.0001308
                     18,                0.92145,                0.41667,                      1,                 1.3248,             0.00012367,             0.00012367,             0.00012367
                     19,                 0.9178,                0.41667,                      1,                 1.3199,             0.00011483,             0.00011483,             0.00011483
                     20,                0.91065,                0.41667,                      1,                 1.3164,              0.0001043,              0.0001043,              0.0001043
                     21,                0.90393,                0.41667,                      1,                 1.3145,             9.2077e-05,             9.2077e-05,             9.2077e-05
                     22,                0.90425,                0.41667,                      1,                 1.3111,             7.8154e-05,             7.8154e-05,             7.8154e-05
                     23,                0.84975,                0.41667,                      1,                 1.3085,             6.2535e-05,             6.2535e-05,             6.2535e-05
                     24,                0.91506,                0.41667,                      1,                 1.3078,             4.5219e-05,             4.5219e-05,             4.5219e-05
                     25,                  0.813,                0.41667,                      1,                 1.3069,             2.6207e-05,             2.6207e-05,             2.6207e-05
